Name,Brand,Coffee_Tea,Brew_Type,Tea_Type,Coffee_Type,Steeping_Time_Min,Steeping_Time_Max,Water_Temp_Min_C,Water_Temp_Max_C,Water_Temp_Min_F,Water_Temp_Max_F,Weight_Oz,Weight_g,Opened,Ingredients
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
Niagara Icewine,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,FALSE,"Black Tea, White Tea, Currants, natural flavors, Ontario Icewine"
Nutcracker,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,4,6,100,,212,,0.28,8,FALSE,"Rooibos, papaya pieces, candy, almond pieces, natural flavors"
Orange Creamsicle,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Apple, rosehip pieces, orange pieces, hibiscus, sunflower petals, safflower petals, natural flavors"
Orange Oolong,Dollar Tea Club,Tea,Loose Leaf,Oolong,N/A,4,5,85,,185,,0.28,8,FALSE,"Black tea, Green tea, Oolong Tea, Jasmine petals, natural flavors"
Orange Spice,Mosi,Tea,Loose Leaf,Green,N/A,3,5,,,206,,,6,FALSE,Green Tea from Mid-Darjeeling and North Benga India
Organic Ginger Peach Green Tea,Brew la la Tea,Tea,Tea Bags,Green,N/A,2,3,100,100,,,2.64,75,TRUE,"Organic Green Tea, Natural Ginger Flavor, Natural Peach Flavor"
Pecan Tart,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,4,80,,176,,0.28,8,FALSE,"Green Tea, Papaya pieces, orange petals, natural flavors"
Pina Colada,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,TRUE,"Black tea, Pineapple pieces, coconut pieces, blackberry leaves, safflower petals, natural flavors"
Pink Lemonade,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,TRUE,"Apple, hibiscus petals, cornflow petals, rosehip pieces, raspberry pieces, lemon peel, strawberry leaves, chamomile, natural flavors"
Pink Lemonade,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Apple petals, Hibiscus petals, cornflower petals, rosehip pieces, raspberry pieces, lemon peel, strawberry leaves, chamomile, natural flavors"
Pink Rose Chateau,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,4,80,,176,,0.28,8,FALSE,"Green Tea, Oolong Tea, Hibiscus Petals, Rosehip, Rose petals, Calendula petals, Sunflower petals, Natural Flavors"
Raspberry Croissant,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,TRUE,"Black tea, Mango pieces, Rosehip pieces, Raspberry pieces, white tea, rose petals, natural flavors"
Red Raspberry & Hemp,Sowing Seeds Farm,Tea,Tea Bags,Herbal,N/A,2,5,100,,,,,30,TRUE,"Red Raspberry, Organically Grown Hemp"
Remember Me,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,FALSE,"Black tea, Apple pieces, cornflower, linden, mallow, natural flavors"
Rio de Clementina,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Apple pieces, Orange pieces, hibiscus petals, rosehip, cinnamon, natural flavors"
Rooibos Berry Noir,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,4,6,100,,212,,0.28,8,FALSE,"Rooibos, Black currants, strawberry leaves, sunflowers, safflowers, natural flavors"
Rooibos Lavender,Mosi,Tea,Loose Leaf,Herbal,N/A,2,4,,,212,,,6,FALSE,Orthodox Assam black tea from the Golaghat district in Assam India
Rose Black,Mosi,Tea,Loose Leaf,Black,N/A,2,4,,,206,,,6,FALSE,"Orthodox Darjeeling & Upper Assam blend, Rose Petals from Kashmir India"
Ruby Red Apple,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,TRUE,"Apple, Rosehip, cranberry, elderberry pieces, hibiscus petals, natural flavors"
Sassyfras Strawberry,Piper & Leaf,Tea,Loose Leaf,Green,N/A,3,,80,,,,1.2,34,TRUE,"sencha green tea, strawberries, sarsaparilla root, natural flavor, red beets"
Sleepytime Melatonin,Celestial Seasonings,Tea,Tea Bags,Herbal,N/A,,,,,,,0.75,21,FALSE,"Proprietary blend, chamomile, catnip, melatonin, spearmint leaf, lemongrass leaf, hawthorn berry"
Sleepytime Vanilla,Celestial Seasonings,Tea,Tea Bags,Herbal,N/A,4,6,100,,,,1.1,30,TRUE,"Chamomile, Spearmint, Lemongrass, Natural french vanilla flavor, natural flavors, blackberry leaves, hawthorn, tilia flowers, rosebuds"
Spice Ginger Pineapple,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,4,80,,176,,0.28,8,FALSE,"Green tea, ginger, pineapple, apple, hibiscus, platain leaves, chili pepper, black pepper, pink peppercorns, maricold petals, calendula petals, natural flavors"
Spiced Bourbon,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,4,6,100,,212,,0.28,8,FALSE,"Rooibos, almond pieces, calendula petals, natural flavors"
Spicy Cider,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,6,100,,212,,0.28,8,FALSE,"Apple, Rosehip, Elderberry, clove, cranberry pieces, hibiscus petals, cinnamon, natural flavors"
Spring Berry,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,7,100,,212,,0.28,8,FALSE,"Apple pieces, hibiscus petals, rosehip pieces, elderberry pieces, banana pieces, strawberry pieces, natural flavors"
Strawberry,infuZed tZ,Tea,Loose Leaf,Black,N/A,3,7,100,,212,,,50,TRUE,"Black tea, papaya, strawberry, lime leaves, blackberry leaves, natural flavors"
Strawberry Kiwi,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,7,100,,212,,0.28,8,TRUE,"Apple pieces, hibiscus petals, rosehip, kiwi pieces, strawberry pieces, natural flavors"
Sugar Plim,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,FALSE,"Black tea, pineapple pieces, pear pieces, safflower petals, mallow petals, jasmine petals, blackberry leaves, lime leaves, natural flavor"
Sugar Shack,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,FALSE,"Black tea, safflower petals, authentic maple syrup, natural flavors"
